city_alias,city_alias_norm,metro_title,primary_state,region,population,alias_match_rank
Hanford Corcoran,HANFORD CORCORAN,"Hanford-Corcoran, CA",CA,West,154913,1
Hanford-Corcoran,HANFORD-CORCORAN,"Hanford-Corcoran, CA",CA,West,154913,1
Hanover,HANOVER,"York-Hanover, PA",PA,Northeast,471240,1
Harlingen,HARLINGEN,"Brownsville-Harlingen, TX",TX,South,431874,1
Harrisburg,HARRISBURG,"Harrisburg-Carlisle, PA",PA,Northeast,615361,1
Harrisburg Carlisle,HARRISBURG CARLISLE,"Harrisburg-Carlisle, PA",PA,Northeast,615361,1
Harrisburg-Carlisle,HARRISBURG-CARLISLE,"Harrisburg-Carlisle, PA",PA,Northeast,615361,1
Harrisonburg,HARRISONBURG,"Harrisonburg, VA",VA,South,138838,1
Hartford,HARTFORD,"Hartford-West Hartford-East Hartford, CT",CT,Northeast,1169048,1
Hartford West Hartford East Hartford,HARTFORD WEST HARTFORD EAST HARTFORD,"Hartford-West Hartford-East Hartford, CT",CT,Northeast,1169048,1
Hartford-West Hartford-East Hartford,HARTFORD-WEST HARTFORD-EAST HARTFORD,"Hartford-West Hartford-East Hartford, CT",CT,Northeast,1169048,1
Hattiesburg,HATTIESBURG,"Hattiesburg, MS",MS,South,156411,1
Helena,HELENA,"Helena, MT",MT,West,96327,1
Henderson,HENDERSON,"Las Vegas-Henderson-North Las Vegas, NV",NV,West,2398871,1
Hickory,HICKORY,"Hickory-Lenoir-Morganton, NC",NC,South,373031,1
Hickory Lenoir Morganton,HICKORY LENOIR MORGANTON,"Hickory-Lenoir-Morganton, NC",NC,South,373031,1
Hickory-Lenoir-Morganton,HICKORY-LENOIR-MORGANTON,"Hickory-Lenoir-Morganton, NC",NC,South,373031,1
High Point,HIGH POINT,"Greensboro-High Point, NC",NC,South,800722,1
Hillsboro,HILLSBORO,"Portland-Vancouver-Hillsboro, OR-WA",OR,West,2537070,1
Hilton Head Island,HILTON HEAD ISLAND,"Hilton Head Island-Bluffton-Port Royal, SC",SC,South,237393,1
Hilton Head Island Bluffton Port Royal,HILTON HEAD ISLAND BLUFFTON PORT ROYAL,"Hilton Head Island-Bluffton-Port Royal, SC",SC,South,237393,1
Hilton Head Island-Bluffton-Port Royal,HILTON HEAD ISLAND-BLUFFTON-PORT ROYAL,"Hilton Head Island-Bluffton-Port Royal, SC",SC,South,237393,1
Hinesville,HINESVILLE,"Hinesville, GA",GA,South,89657,1
Homosassa Springs,HOMOSASSA SPRINGS,"Homosassa Springs, FL",FL,South,170174,1
Hot Springs,HOT SPRINGS,"Hot Springs, AR",AR,South,99902,1
Houma,HOUMA,"Houma-Bayou Cane-Thibodaux, LA",LA,South,199206,1
Houma Bayou Cane Thibodaux,HOUMA BAYOU CANE THIBODAUX,"Houma-Bayou Cane-Thibodaux, LA",LA,South,199206,1
Houma-Bayou Cane-Thibodaux,HOUMA-BAYOU CANE-THIBODAUX,"Houma-Bayou Cane-Thibodaux, LA",LA,South,199206,1
Houston,HOUSTON,"Houston-Pasadena-The Woodlands, TX",TX,South,7796182,1
Houston Pasadena The Woodlands,HOUSTON PASADENA THE WOODLANDS,"Houston-Pasadena-The Woodlands, TX",TX,South,7796182,1
Houston-Pasadena-The Woodlands,HOUSTON-PASADENA-THE WOODLANDS,"Houston-Pasadena-The Woodlands, TX",TX,South,7796182,1
Huntington,HUNTINGTON,"Huntington-Ashland, WV-KY-OH",WV,South,366760,1
Huntington Ashland,HUNTINGTON ASHLAND,"Huntington-Ashland, WV-KY-OH",WV,South,366760,1
Huntington-Ashland,HUNTINGTON-ASHLAND,"Huntington-Ashland, WV-KY-OH",WV,South,366760,1
Huntsville,HUNTSVILLE,"Huntsville, AL",AL,South,542297,1
Idaho Falls,IDAHO FALLS,"Idaho Falls, ID",ID,West,171773,1
Indianapolis,INDIANAPOLIS,"Indianapolis-Carmel-Greenwood, IN",IN,Midwest,2173288,1
Indianapolis Carmel Greenwood,INDIANAPOLIS CARMEL GREENWOOD,"Indianapolis-Carmel-Greenwood, IN",IN,Midwest,2173288,1
Indianapolis-Carmel-Greenwood,INDIANAPOLIS-CARMEL-GREENWOOD,"Indianapolis-Carmel-Greenwood, IN",IN,Midwest,2173288,1
Iowa City,IOWA CITY,"Iowa City, IA",IA,Midwest,182711,1
Ithaca,ITHACA,"Ithaca, NY",NY,Northeast,105602,1
Jackson,JACKSON,"Jackson, MS",MS,South,605803,1
Jackson,JACKSON,"Jackson, TN",TN,South,183680,2
Jackson,JACKSON,"Jackson, MI",MI,Midwest,160233,3
Jacksonville,JACKSONVILLE,"Jacksonville, FL",FL,South,1760548,1
Jacksonville,JACKSONVILLE,"Jacksonville, NC",NC,South,212954,2
Janesville,JANESVILLE,"Janesville-Beloit, WI",WI,Midwest,165461,1
Janesville Beloit,JANESVILLE BELOIT,"Janesville-Beloit, WI",WI,Midwest,165461,1
Janesville-Beloit,JANESVILLE-BELOIT,"Janesville-Beloit, WI",WI,Midwest,165461,1
Jefferson City,JEFFERSON CITY,"Jefferson City, MO",MO,Midwest,152832,1
Jefferson County,JEFFERSON COUNTY,"Louisville/Jefferson County, KY-IN",KY,South,1396762,1
Jersey City,JERSEY CITY,"New York-Newark-Jersey City, NY-NJ",NY,Northeast,19940274,1
Johnson City,JOHNSON CITY,"Johnson City, TN",TN,South,215679,1
Johnstown,JOHNSTOWN,"Johnstown, PA",PA,Northeast,130108,1
Jonesboro,JONESBORO,"Jonesboro, AR",AR,South,138152,1
Joplin,JOPLIN,"Joplin, MO-KS",MO,Midwest,207131,1
Kahului,KAHULUI,"Kahului-Wailuku, HI",HI,West,163769,1
Kahului Wailuku,KAHULUI WAILUKU,"Kahului-Wailuku, HI",HI,West,163769,1
Kahului-Wailuku,KAHULUI-WAILUKU,"Kahului-Wailuku, HI",HI,West,163769,1
Kalamazoo,KALAMAZOO,"Kalamazoo-Portage, MI",MI,Midwest,264780,1
Kalamazoo Portage,KALAMAZOO PORTAGE,"Kalamazoo-Portage, MI",MI,Midwest,264780,1
Kalamazoo-Portage,KALAMAZOO-PORTAGE,"Kalamazoo-Portage, MI",MI,Midwest,264780,1
Kankakee,KANKAKEE,"Kankakee, IL",IL,Midwest,106410,1
Kansas City,KANSAS CITY,"Kansas City, MO-KS",MO,Midwest,2254288,1
Kelso,KELSO,"Longview-Kelso, WA",WA,West,113982,1
Kennewick,KENNEWICK,"Kennewick-Richland, WA",WA,West,319428,1
Kennewick Richland,KENNEWICK RICHLAND,"Kennewick-Richland, WA",WA,West,319428,1
Kennewick-Richland,KENNEWICK-RICHLAND,"Kennewick-Richland, WA",WA,West,319428,1
Kenosha,KENOSHA,"Kenosha, WI",WI,Midwest,168754,1
Kentwood,KENTWOOD,"Grand Rapids-Wyoming-Kentwood, MI",MI,Midwest,1178826,1
Kettering,KETTERING,"Dayton-Kettering-Beavercreek, OH",OH,Midwest,821740,1
